age,education_num,hours_per_week,income_class
[20-29],7,[30-39],Low
[40-49],13,[40-49],High
[30-39],7,[40-49],Low
[20-29],7,[50-59],LowerMiddle
[50-59],10,[50-59],UpperMiddle
[30-39],8,[40-49],Low
[60-69],8,[40-49],LowerMiddle
[30-39],8,[30-39],Low
[30-39],11,[30-39],LowerMiddle
[60-69],14,[50-59],VeryHigh
[30-39],9,[30-39],Low
[60-69],14,[20-29],High
[20-29],9,[50-59],Low
[50-59],12,[40-49],High
[40-49],9,[30-39],LowerMiddle
[50-59],13,[50-59],VeryHigh
[40-49],10,[50-59],LowerMiddle
[30-39],11,[40-49],LowerMiddle
[60-69],11,[40-49],High
[40-49],10,[40-49],LowerMiddle
[40-49],13,[30-39],UpperMiddle
[40-49],15,[40-49],UpperMiddle
[50-59],10,[30-39],UpperMiddle
[50-59],16,[30-39],UpperMiddle
[30-39],11,[40-49],LowerMiddle
[40-49],10,[20-29],LowerMiddle
[70-79],10,[10-19],UpperMiddle
[30-39],13,[40-49],LowerMiddle
[30-39],12,[50-59],UpperMiddle
[50-59],9,[50-59],LowerMiddle
[60-69],12,[40-49],VeryHigh
[20-29],9,[30-39],Low
[60-69],13,[30-39],UpperMiddle
[60-69],10,[30-39],High
[30-39],9,[30-39],LowerMiddle
[50-59],12,[40-49],UpperMiddle
[30-39],9,[30-39],LowerMiddle
[40-49],11,[40-49],LowerMiddle
[20-29],9,[30-39],Low
[30-39],12,[40-49],UpperMiddle
[30-39],9,[30-39],Low
[20-29],6,[30-39],Low
[20-29],8,[40-49],Low
[30-39],11,[40-49],UpperMiddle
[50-59],10,[20-29],LowerMiddle
[30-39],11,[20-29],Low
[20-29],9,[30-39],Low
[30-39],12,[50-59],UpperMiddle
[20-29],7,[40-49],Low
[20-29],11,[30-39],Low
[30-39],13,[40-49],LowerMiddle
[20-29],9,[30-39],Low
[50-59],13,[30-39],UpperMiddle
[40-49],15,[50-59],UpperMiddle
[50-59],15,[40-49],High
[60-69],14,[40-49],UpperMiddle
[30-39],12,[40-49],UpperMiddle
[30-39],15,[40-49],High
[60-69],8,[20-29],Low
[40-49],13,[50-59],UpperMiddle
[20-29],9,[20-29],Low
[60-69],12,[40-49],LowerMiddle
[18-19],10,[40-49],LowerMiddle
[40-49],10,[40-49],UpperMiddle
[50-59],11,[40-49],High
[20-29],13,[30-39],LowerMiddle
[40-49],11,[30-39],UpperMiddle
[20-29],11,[50-59],LowerMiddle
[50-59],10,[40-49],LowerMiddle
[50-59],8,[20-29],Low
[20-29],12,[40-49],UpperMiddle
[30-39],11,[40-49],UpperMiddle
[30-39],10,[30-39],Low
[40-49],12,[30-39],UpperMiddle
[40-49],11,[50-59],LowerMiddle
[30-39],10,[40-49],LowerMiddle
[50-59],10,[30-39],LowerMiddle
[30-39],12,[40-49],LowerMiddle
[20-29],10,[30-39],Low
[50-59],13,[40-49],UpperMiddle
[30-39],7,[30-39],LowerMiddle
[70-79],11,[20-29],LowerMiddle
[40-49],9,[40-49],UpperMiddle
[30-39],11,[40-49],LowerMiddle
[20-29],11,[50-59],LowerMiddle
[30-39],9,[40-49],LowerMiddle
[20-29],11,[40-49],LowerMiddle
[20-29],11,[30-39],Low
[30-39],10,[30-39],Low
[20-29],8,[30-39],Low
[30-39],10,[40-49],LowerMiddle
[50-59],11,[30-39],Low
[60-69],11,[50-59],High
[30-39],9,[50-59],LowerMiddle
[50-59],15,[30-39],UpperMiddle
[60-69],9,[40-49],LowerMiddle
[30-39],10,[30-39],Low
[30-39],11,[50-59],UpperMiddle
[30-39],12,[50-59],High
[20-29],11,[30-39],LowerMiddle
[50-59],13,[30-39],High
[30-39],11,[30-39],Low
[30-39],6,[40-49],Low
[30-39],9,[40-49],LowerMiddle
[30-39],11,[40-49],UpperMiddle
[40-49],9,[40-49],Low
[20-29],10,[40-49],Low
[20-29],14,[40-49],High
[30-39],10,[30-39],LowerMiddle
[60-69],10,[40-49],High
[18-19],10,[40-49],Low
[40-49],11,[50-59],Low
[18-19],9,[30-39],Low
[20-29],8,[10-19],Low
[30-39],10,[30-39],Low
[20-29],12,[50-59],UpperMiddle
[30-39],13,[30-39],LowerMiddle
[30-39],9,[40-49],LowerMiddle
[20-29],10,[20-29],LowerMiddle
[30-39],7,[40-49],Low
[40-49],11,[30-39],LowerMiddle
[40-49],10,[40-49],Low
[40-49],14,[50-59],VeryHigh
[60-69],14,[30-39],LowerMiddle
[30-39],12,[40-49],UpperMiddle
[40-49],10,[40-49],LowerMiddle
[30-39],13,[40-49],LowerMiddle
[30-39],8,[40-49],Low
[40-49],10,[50-59],Low
[20-29],12,[30-39],LowerMiddle
[40-49],9,[40-49],LowerMiddle
[40-49],13,[40-49],UpperMiddle
[20-29],12,[40-49],LowerMiddle
[20-29],10,[20-29],LowerMiddle
[40-49],13,[50-59],VeryHigh
[40-49],13,[50-59],UpperMiddle
[40-49],14,[50-59],VeryHigh
[30-39],11,[40-49],LowerMiddle
[50-59],11,[30-39],UpperMiddle
[40-49],11,[40-49],Low
[50-59],14,[30-39],UpperMiddle
[20-29],7,[20-29],Low
[30-39],10,[40-49],LowerMiddle
[40-49],9,[40-49],UpperMiddle
[40-49],13,[30-39],UpperMiddle
[20-29],10,[50-59],Low
[50-59],11,[40-49],UpperMiddle
[30-39],11,[40-49],LowerMiddle
[60-69],9,[40-49],LowerMiddle
[40-49],9,[40-49],LowerMiddle
[20-29],11,[40-49],Low
[40-49],16,[40-49],High
[50-59],9,[40-49],LowerMiddle
[70-79],9,[10-19],Low
[30-39],14,[30-39],VeryHigh
[18-19],7,[30-39],Low
[30-39],13,[40-49],High
[40-49],12,[30-39],UpperMiddle
[40-49],12,[50-59],LowerMiddle
[20-29],11,[40-49],Low
[20-29],7,[30-39],Low
[60-69],14,[40-49],VeryHigh
[18-19],7,[30-39],Low
[60-69],14,[40-49],VeryHigh
[40-49],13,[40-49],UpperMiddle
[50-59],10,[30-39],High
[30-39],8,[30-39],UpperMiddle
[50-59],10,[40-49],High
[30-39],9,[50-59],UpperMiddle
[20-29],11,[30-39],LowerMiddle
[30-39],10,[30-39],LowerMiddle
[70-79],10,[20-29],LowerMiddle
[20-29],11,[30-39],UpperMiddle
[40-49],13,[50-59],High
[40-49],10,[40-49],UpperMiddle
[50-59],12,[40-49],LowerMiddle
[18-19],6,[30-39],Low
[30-39],11,[30-39],LowerMiddle
[20-29],12,[20-29],LowerMiddle
[20-29],14,[40-49],LowerMiddle
[40-49],10,[20-29],LowerMiddle
[30-39],11,[40-49],UpperMiddle
[30-39],12,[40-49],LowerMiddle
[60-69],10,[40-49],LowerMiddle
[30-39],11,[40-49],LowerMiddle
[40-49],11,[50-59],LowerMiddle
[50-59],10,[50-59],UpperMiddle
[30-39],10,[50-59],High
[20-29],9,[40-49],LowerMiddle
[30-39],10,[40-49],LowerMiddle
[50-59],10,[30-39],UpperMiddle
[40-49],11,[40-49],UpperMiddle
[60-69],10,[30-39],UpperMiddle
[30-39],11,[50-59],Low
[60-69],11,[20-29],LowerMiddle
[30-39],9,[40-49],UpperMiddle
[30-39],9,[30-39],LowerMiddle
[40-49],16,[50-59],High
[20-29],9,[20-29],Low
[40-49],13,[50-59],UpperMiddle
[30-39],9,[40-49],Low
[50-59],11,[30-39],UpperMiddle
[20-29],9,[20-29],Low
[60-69],12,[30-39],High
[20-29],8,[20-29],Low
[50-59],11,[30-39],High
[30-39],12,[50-59],High
[30-39],13,[40-49],LowerMiddle
[40-49],9,[40-49],Low
[60-69],11,[30-39],High
[20-29],6,[30-39],Low
[50-59],11,[30-39],LowerMiddle
[40-49],10,[50-59],LowerMiddle
[40-49],12,[40-49],UpperMiddle
[50-59],10,[30-39],LowerMiddle
[30-39],13,[50-59],UpperMiddle
[20-29],9,[30-39],Low
[20-29],8,[30-39],Low
[60-69],13,[40-49],VeryHigh
[40-49],12,[40-49],UpperMiddle
[20-29],11,[30-39],Low
[20-29],11,[40-49],LowerMiddle
[40-49],8,[40-49],LowerMiddle
[60-69],11,[50-59],LowerMiddle
[20-29],13,[20-29],High
[20-29],11,[30-39],LowerMiddle
[40-49],11,[30-39],LowerMiddle
[50-59],14,[50-59],UpperMiddle
[40-49],12,[40-49],Low
[40-49],10,[40-49],Low
[60-69],11,[40-49],UpperMiddle
[30-39],8,[30-39],Low
[40-49],13,[40-49],UpperMiddle
[50-59],11,[50-59],UpperMiddle
[60-69],12,[30-39],UpperMiddle
[60-69],14,[20-29],LowerMiddle
[50-59],10,[30-39],UpperMiddle
[40-49],13,[50-59],High
[50-59],13,[30-39],UpperMiddle
[20-29],11,[20-29],Low
[30-39],12,[30-39],LowerMiddle
[50-59],14,[40-49],High
[40-49],11,[40-49],LowerMiddle
[40-49],9,[40-49],High
[30-39],11,[40-49],Low
[20-29],13,[40-49],UpperMiddle
[20-29],7,[40-49],Low
[60-69],13,[40-49],VeryHigh
[60-69],14,[40-49],UpperMiddle
[20-29],11,[40-49],UpperMiddle
[50-59],11,[40-49],UpperMiddle
[40-49],14,[40-49],High
[50-59],13,[40-49],High
[20-29],13,[30-39],High
[50-59],10,[30-39],LowerMiddle
[40-49],10,[40-49],LowerMiddle
[30-39],11,[30-39],LowerMiddle
[40-49],11,[40-49],UpperMiddle
[40-49],9,[30-39],LowerMiddle
[40-49],12,[40-49],UpperMiddle
[40-49],10,[40-49],Low
[50-59],8,[40-49],Low
[70-79],11,[20-29],LowerMiddle
[60-69],11,[40-49],UpperMiddle
[40-49],12,[40-49],LowerMiddle
[60-69],8,[30-39],LowerMiddle
[60-69],14,[30-39],UpperMiddle
[20-29],10,[30-39],Low
[50-59],12,[20-29],High
[30-39],11,[30-39],UpperMiddle
[40-49],10,[50-59],LowerMiddle
[30-39],9,[40-49],Low
[30-39],12,[40-49],UpperMiddle
[50-59],10,[40-49],UpperMiddle
[60-69],7,[40-49],Low
[40-49],11,[30-39],UpperMiddle
[20-29],10,[30-39],Low
[40-49],11,[30-39],UpperMiddle
[20-29],11,[50-59],LowerMiddle
[20-29],11,[30-39],Low
[20-29],8,[30-39],Low
[40-49],8,[40-49],Low
[20-29],9,[50-59],LowerMiddle
[50-59],14,[40-49],VeryHigh
[50-59],6,[40-49],Low
[30-39],7,[40-49],Low
[60-69],13,[40-49],UpperMiddle
[20-29],12,[30-39],LowerMiddle
[30-39],11,[40-49],LowerMiddle
[40-49],15,[40-49],High
[40-49],9,[50-59],LowerMiddle
[20-29],11,[40-49],LowerMiddle
[60-69],13,[40-49],UpperMiddle
[60-69],9,[30-39],UpperMiddle
[50-59],12,[30-39],High
[30-39],12,[40-49],UpperMiddle
[20-29],9,[40-49],LowerMiddle
[30-39],10,[30-39],Low
[20-29],9,[10-19],Low
[30-39],8,[40-49],Low
[40-49],10,[30-39],LowerMiddle
[40-49],8,[40-49],Low
[20-29],6,[30-39],Low
[30-39],8,[30-39],Low
[50-59],9,[50-59],UpperMiddle
[40-49],11,[30-39],LowerMiddle
[18-19],7,[30-39],Low
[50-59],9,[40-49],LowerMiddle
[60-69],14,[40-49],UpperMiddle
[50-59],10,[40-49],LowerMiddle
[40-49],14,[50-59],High
[50-59],11,[30-39],LowerMiddle
[60-69],11,[40-49],LowerMiddle
[40-49],11,[30-39],UpperMiddle
[20-29],13,[40-49],UpperMiddle
[30-39],9,[40-49],Low
[50-59],6,[40-49],Low
[50-59],9,[20-29],LowerMiddle
[18-19],11,[20-29],Low
[18-19],10,[30-39],Low
[30-39],11,[40-49],LowerMiddle
[60-69],9,[10-19],UpperMiddle
[18-19],8,[30-39],Low
[20-29],7,[20-29],Low
[20-29],11,[30-39],LowerMiddle
[50-59],12,[40-49],UpperMiddle
[60-69],14,[20-29],UpperMiddle
[18-19],10,[20-29],Low
[18-19],10,[40-49],Low
[60-69],11,[40-49],UpperMiddle
[40-49],6,[30-39],UpperMiddle
[20-29],9,[30-39],Low
[50-59],12,[50-59],UpperMiddle
[20-29],10,[30-39],LowerMiddle
[40-49],12,[30-39],UpperMiddle
[30-39],9,[40-49],LowerMiddle
[50-59],14,[40-49],High
[30-39],11,[40-49],LowerMiddle
[70-79],11,[30-39],UpperMiddle
[20-29],10,[20-29],Low
[40-49],9,[30-39],UpperMiddle
[50-59],10,[40-49],Low
[60-69],13,[30-39],High
[60-69],9,[20-29],LowerMiddle
[30-39],9,[30-39],Low
[20-29],7,[40-49],Low
[40-49],11,[40-49],Low
[20-29],11,[30-39],Low
[60-69],13,[30-39],UpperMiddle
[30-39],9,[30-39],Low
[50-59],14,[40-49],UpperMiddle
[30-39],10,[40-49],Low
[40-49],12,[50-59],High
[40-49],11,[30-39],LowerMiddle
[20-29],8,[30-39],Low
[30-39],12,[50-59],VeryHigh
[50-59],11,[40-49],LowerMiddle
[30-39],8,[30-39],LowerMiddle
[50-59],13,[40-49],LowerMiddle
[20-29],13,[30-39],Low
[30-39],9,[50-59],UpperMiddle
[40-49],11,[30-39],LowerMiddle
[30-39],9,[30-39],LowerMiddle
[50-59],12,[40-49],UpperMiddle
[40-49],9,[40-49],LowerMiddle
[50-59],8,[40-49],LowerMiddle
[50-59],12,[50-59],High
[50-59],12,[30-39],UpperMiddle
[30-39],8,[40-49],UpperMiddle
[40-49],10,[50-59],LowerMiddle
[40-49],8,[50-59],LowerMiddle
[20-29],9,[30-39],Low
[30-39],10,[30-39],Low
[30-39],11,[40-49],UpperMiddle
[20-29],13,[40-49],LowerMiddle
[50-59],8,[30-39],LowerMiddle
[60-69],8,[20-29],High
[40-49],9,[30-39],LowerMiddle
[30-39],9,[50-59],LowerMiddle
[40-49],10,[50-59],LowerMiddle
[60-69],10,[10-19],Low
[40-49],10,[30-39],Low
[30-39],12,[40-49],LowerMiddle
[60-69],7,[40-49],UpperMiddle
[40-49],7,[40-49],UpperMiddle
[40-49],8,[50-59],Low
[40-49],13,[50-59],LowerMiddle
[40-49],13,[40-49],UpperMiddle
[60-69],11,[30-39],LowerMiddle
[40-49],11,[40-49],LowerMiddle
[40-49],9,[30-39],Low
[18-19],9,[30-39],Low
[40-49],11,[40-49],High
[60-69],10,[50-59],UpperMiddle
[20-29],11,[30-39],LowerMiddle
[60-69],13,[40-49],High
[20-29],8,[20-29],Low
[30-39],12,[50-59],UpperMiddle
[40-49],11,[40-49],LowerMiddle
[30-39],11,[40-49],LowerMiddle
[30-39],11,[40-49],UpperMiddle
[30-39],15,[30-39],UpperMiddle
[20-29],9,[40-49],LowerMiddle
[70-79],9,[20-29],LowerMiddle
[70-79],11,[20-29],High
[20-29],8,[40-49],Low
[30-39],8,[40-49],Low
[20-29],12,[20-29],High
[50-59],9,[30-39],LowerMiddle
[20-29],10,[40-49],LowerMiddle
[60-69],15,[40-49],VeryHigh
[40-49],16,[40-49],VeryHigh
[20-29],7,[30-39],Low
[50-59],11,[40-49],LowerMiddle
[30-39],12,[30-39],UpperMiddle
[50-59],12,[50-59],High
[20-29],9,[30-39],LowerMiddle
[20-29],8,[20-29],Low
[30-39],10,[40-49],LowerMiddle
[40-49],10,[20-29],LowerMiddle
[50-59],14,[30-39],High
[60-69],11,[20-29],LowerMiddle
[18-19],10,[30-39],Low
[20-29],8,[50-59],Low
[30-39],13,[50-59],High
[40-49],9,[40-49],Low
[40-49],12,[40-49],LowerMiddle
[60-69],10,[30-39],LowerMiddle
[50-59],10,[30-39],LowerMiddle
[40-49],13,[40-49],UpperMiddle
[30-39],7,[40-49],LowerMiddle
[20-29],8,[20-29],Low
[20-29],11,[30-39],Low
[60-69],12,[40-49],High
[20-29],8,[20-29],Low
[50-59],10,[40-49],UpperMiddle
[30-39],8,[40-49],Low
[50-59],15,[30-39],High
[20-29],9,[30-39],Low
[20-29],9,[20-29],Low
[30-39],9,[40-49],LowerMiddle
[70-79],11,[20-29],UpperMiddle
[30-39],13,[30-39],UpperMiddle
[50-59],12,[20-29],LowerMiddle
[30-39],13,[30-39],UpperMiddle
[50-59],12,[30-39],UpperMiddle
[40-49],12,[50-59],UpperMiddle
[40-49],12,[40-49],LowerMiddle
[20-29],8,[30-39],LowerMiddle
[20-29],12,[20-29],Low
[70-79],10,[20-29],High
[30-39],12,[50-59],UpperMiddle
[40-49],9,[40-49],Low
[40-49],8,[40-49],Low
[60-69],11,[40-49],High
[20-29],8,[20-29],LowerMiddle
[30-39],15,[40-49],UpperMiddle
[50-59],8,[40-49],LowerMiddle
[30-39],10,[50-59],UpperMiddle
[40-49],11,[40-49],High
[60-69],11,[20-29],UpperMiddle
[60-69],10,[30-39],UpperMiddle
[60-69],12,[40-49],LowerMiddle
[20-29],8,[20-29],Low
[20-29],13,[40-49],UpperMiddle
[18-19],10,[20-29],LowerMiddle
[30-39],8,[30-39],LowerMiddle
[20-29],8,[30-39],Low
[50-59],12,[50-59],UpperMiddle
[50-59],8,[20-29],LowerMiddle
[50-59],13,[40-49],High
[40-49],10,[50-59],UpperMiddle
[50-59],11,[50-59],UpperMiddle
[40-49],8,[30-39],LowerMiddle
[20-29],10,[30-39],LowerMiddle
[20-29],14,[30-39],LowerMiddle
[50-59],15,[40-49],VeryHigh
[40-49],13,[50-59],High
[40-49],10,[30-39],UpperMiddle
[40-49],13,[30-39],High
[30-39],11,[50-59],LowerMiddle
[50-59],8,[40-49],Low
[40-49],11,[40-49],LowerMiddle
[30-39],6,[50-59],Low
[30-39],11,[30-39],LowerMiddle
[20-29],11,[30-39],LowerMiddle
[60-69],14,[40-49],VeryHigh
[40-49],12,[40-49],LowerMiddle
[50-59],13,[40-49],High
[60-69],9,[40-49],LowerMiddle
[20-29],12,[30-39],Low
[40-49],12,[40-49],LowerMiddle
[50-59],13,[40-49],High
[18-19],11,[40-49],LowerMiddle
[40-49],10,[40-49],LowerMiddle
[40-49],11,[50-59],LowerMiddle
[18-19],9,[40-49],Low
[30-39],10,[40-49],LowerMiddle
[30-39],12,[30-39],High
[70-79],12,[30-39],High
[20-29],8,[30-39],Low
[20-29],12,[40-49],LowerMiddle
[70-79],11,[10-19],LowerMiddle
[30-39],11,[40-49],Low
[30-39],10,[30-39],Low
[50-59],11,[30-39],UpperMiddle
[50-59],9,[40-49],UpperMiddle
[30-39],9,[30-39],Low
[50-59],11,[40-49],UpperMiddle
[30-39],14,[30-39],UpperMiddle
[60-69],13,[40-49],High
[20-29],9,[40-49],LowerMiddle
[40-49],11,[40-49],UpperMiddle
[20-29],12,[50-59],UpperMiddle
[50-59],15,[30-39],VeryHigh
[30-39],12,[50-59],UpperMiddle
[40-49],9,[30-39],Low
[30-39],12,[50-59],UpperMiddle
[30-39],8,[40-49],LowerMiddle
[40-49],14,[40-49],UpperMiddle
[40-49],11,[40-49],UpperMiddle
[50-59],10,[30-39],LowerMiddle
[50-59],10,[40-49],LowerMiddle
[40-49],12,[50-59],High
[20-29],10,[30-39],Low
[20-29],12,[50-59],LowerMiddle
[20-29],7,[40-49],Low
[20-29],10,[30-39],LowerMiddle
[60-69],13,[40-49],High
[20-29],7,[40-49],Low
[40-49],10,[40-49],UpperMiddle
[30-39],10,[30-39],Low
[40-49],12,[40-49],LowerMiddle
[60-69],11,[50-59],VeryHigh
[40-49],9,[30-39],Low
[20-29],12,[40-49],LowerMiddle
[18-19],9,[40-49],LowerMiddle
[40-49],15,[40-49],UpperMiddle
[20-29],11,[40-49],LowerMiddle
[30-39],12,[40-49],UpperMiddle
[30-39],11,[40-49],LowerMiddle
[60-69],13,[30-39],High
[40-49],14,[40-49],UpperMiddle
[50-59],12,[30-39],UpperMiddle
[40-49],12,[50-59],High
[30-39],11,[30-39],UpperMiddle
[40-49],16,[50-59],VeryHigh
[50-59],14,[50-59],UpperMiddle
[60-69],12,[20-29],Low
[30-39],11,[50-59],Low
[50-59],11,[40-49],LowerMiddle
[40-49],10,[30-39],LowerMiddle
[60-69],11,[40-49],High
[30-39],10,[40-49],Low
[50-59],12,[50-59],UpperMiddle
[20-29],10,[30-39],Low
[40-49],13,[40-49],High
[60-69],10,[40-49],LowerMiddle
[30-39],11,[30-39],LowerMiddle
[20-29],9,[20-29],Low
[20-29],7,[10-19],Low
[30-39],10,[40-49],UpperMiddle
[30-39],10,[30-39],Low
[60-69],12,[20-29],UpperMiddle
[60-69],9,[30-39],Low
[40-49],14,[40-49],UpperMiddle
[40-49],11,[50-59],LowerMiddle
[60-69],12,[40-49],LowerMiddle
[40-49],10,[40-49],Low
[18-19],9,[20-29],Low
[30-39],8,[40-49],Low
[30-39],11,[30-39],LowerMiddle
[60-69],10,[40-49],UpperMiddle
[60-69],12,[20-29],LowerMiddle
[50-59],12,[40-49],LowerMiddle
[60-69],15,[50-59],VeryHigh
[20-29],11,[30-39],Low
[50-59],9,[40-49],Low
[40-49],10,[40-49],UpperMiddle
[30-39],9,[30-39],Low
[20-29],7,[20-29],Low
[30-39],11,[40-49],LowerMiddle
[50-59],8,[30-39],Low
[30-39],6,[30-39],Low
[20-29],10,[30-39],LowerMiddle
[40-49],9,[40-49],Low
[40-49],9,[40-49],LowerMiddle
[30-39],10,[40-49],UpperMiddle
[18-19],9,[30-39],Low
[60-69],10,[20-29],LowerMiddle
[40-49],11,[40-49],UpperMiddle
[70-79],10,[20-29],UpperMiddle
[30-39],10,[40-49],UpperMiddle
[20-29],10,[40-49],Low
[60-69],8,[40-49],Low
[40-49],12,[40-49],LowerMiddle
[30-39],10,[30-39],Low
[30-39],7,[40-49],Low
[40-49],9,[40-49],LowerMiddle
[40-49],11,[40-49],LowerMiddle
[20-29],8,[20-29],Low
[30-39],8,[40-49],LowerMiddle
[20-29],8,[10-19],LowerMiddle
[60-69],12,[30-39],UpperMiddle
[40-49],10,[40-49],Low
[60-69],9,[20-29],LowerMiddle
[60-69],13,[30-39],UpperMiddle
[30-39],8,[50-59],Low
[40-49],12,[40-49],UpperMiddle
[20-29],9,[30-39],LowerMiddle
[30-39],12,[40-49],LowerMiddle
[60-69],11,[50-59],LowerMiddle
[30-39],11,[40-49],UpperMiddle
[60-69],13,[30-39],VeryHigh
[20-29],14,[40-49],UpperMiddle
[60-69],11,[30-39],UpperMiddle
[40-49],11,[30-39],UpperMiddle
[50-59],10,[30-39],Low
[50-59],14,[50-59],Extreme
[50-59],12,[30-39],High
[20-29],10,[40-49],Low
[40-49],7,[30-39],Low
[18-19],13,[30-39],LowerMiddle
[30-39],12,[30-39],LowerMiddle
[40-49],10,[40-49],LowerMiddle
[20-29],12,[20-29],LowerMiddle
[20-29],9,[20-29],Low
[30-39],9,[40-49],Low
[18-19],9,[40-49],Low
[20-29],12,[40-49],UpperMiddle
[20-29],11,[30-39],UpperMiddle
[20-29],12,[30-39],LowerMiddle
[60-69],12,[30-39],UpperMiddle
[50-59],10,[40-49],LowerMiddle
[20-29],11,[20-29],LowerMiddle
[60-69],12,[40-49],UpperMiddle
[20-29],12,[30-39],UpperMiddle
[50-59],11,[40-49],UpperMiddle
[20-29],9,[40-49],LowerMiddle
[40-49],12,[40-49],High
[60-69],11,[20-29],High
[60-69],9,[30-39],UpperMiddle
[20-29],10,[20-29],Low
[40-49],11,[40-49],Low
[40-49],9,[40-49],LowerMiddle
[20-29],10,[30-39],Low
[30-39],12,[40-49],LowerMiddle
[30-39],10,[50-59],UpperMiddle
[40-49],10,[50-59],High
[18-19],10,[30-39],Low
[30-39],13,[40-49],UpperMiddle
[50-59],10,[30-39],UpperMiddle
[50-59],10,[50-59],Low
[30-39],11,[40-49],UpperMiddle
[30-39],10,[40-49],Low
[30-39],8,[40-49],Low
[50-59],9,[30-39],LowerMiddle
[30-39],11,[50-59],LowerMiddle
[60-69],8,[20-29],Low
[18-19],6,[20-29],Low
[30-39],11,[40-49],High
[50-59],13,[50-59],UpperMiddle
[50-59],9,[40-49],LowerMiddle
[70-79],12,[30-39],UpperMiddle
[20-29],8,[40-49],Low
[50-59],12,[40-49],High
[18-19],11,[30-39],Low
[20-29],8,[20-29],Low
[50-59],10,[40-49],LowerMiddle
[40-49],11,[50-59],UpperMiddle
[50-59],10,[30-39],UpperMiddle
[50-59],13,[30-39],LowerMiddle
[30-39],7,[30-39],Low
[60-69],12,[50-59],VeryHigh
[50-59],11,[20-29],LowerMiddle
[30-39],11,[40-49],UpperMiddle
[50-59],10,[40-49],UpperMiddle
[20-29],10,[30-39],Low
[20-29],10,[30-39],LowerMiddle
[60-69],11,[30-39],UpperMiddle
[60-69],10,[40-49],UpperMiddle
[20-29],10,[40-49],Low
[40-49],12,[50-59],High
[60-69],12,[30-39],LowerMiddle
[70-79],7,[20-29],LowerMiddle
[30-39],14,[40-49],High
[70-79],10,[20-29],UpperMiddle
[40-49],9,[40-49],LowerMiddle
[20-29],8,[20-29],Low
[20-29],9,[20-29],Low
[20-29],11,[30-39],LowerMiddle
[30-39],14,[50-59],UpperMiddle
[60-69],13,[30-39],UpperMiddle
[70-79],12,[20-29],UpperMiddle
[50-59],10,[30-39],LowerMiddle
[50-59],14,[40-49],High
[40-49],11,[50-59],High
[40-49],11,[50-59],High
[70-79],13,[30-39],UpperMiddle
[40-49],11,[40-49],LowerMiddle
[18-19],8,[20-29],Low
[40-49],10,[40-49],UpperMiddle
[50-59],10,[40-49],LowerMiddle
[20-29],9,[20-29],LowerMiddle
[20-29],8,[40-49],Low
[50-59],10,[40-49],UpperMiddle
[20-29],15,[30-39],High
[20-29],8,[30-39],LowerMiddle
[30-39],12,[40-49],LowerMiddle
[40-49],11,[40-49],UpperMiddle
[60-69],13,[40-49],High
[50-59],8,[30-39],LowerMiddle
[20-29],8,[10-19],Low
[50-59],11,[40-49],LowerMiddle
[30-39],11,[50-59],LowerMiddle
[60-69],9,[40-49],Low
[50-59],11,[30-39],LowerMiddle
[50-59],13,[40-49],LowerMiddle
[20-29],12,[30-39],Low
[40-49],10,[40-49],UpperMiddle
[60-69],9,[40-49],UpperMiddle
[40-49],10,[40-49],Low
[40-49],13,[30-39],VeryHigh
[70-79],10,[20-29],LowerMiddle
[60-69],10,[30-39],UpperMiddle
[20-29],6,[30-39],Low
[20-29],6,[30-39],Low
[20-29],8,[20-29],Low
[40-49],6,[40-49],Low
[60-69],10,[30-39],LowerMiddle
[40-49],9,[40-49],LowerMiddle
[50-59],13,[40-49],VeryHigh
[20-29],10,[30-39],Low
[20-29],12,[40-49],LowerMiddle
[18-19],10,[30-39],LowerMiddle
[20-29],10,[20-29],Low
[30-39],9,[40-49],Low
[20-29],11,[40-49],LowerMiddle
[40-49],9,[50-59],UpperMiddle
[40-49],10,[40-49],LowerMiddle
[70-79],9,[20-29],LowerMiddle
[50-59],10,[20-29],LowerMiddle
[18-19],11,[20-29],LowerMiddle
[30-39],12,[30-39],LowerMiddle
[30-39],8,[40-49],LowerMiddle
[20-29],6,[30-39],Low
[70-79],14,[30-39],VeryHigh
[20-29],8,[30-39],Low
[30-39],9,[30-39],Low
[70-79],9,[20-29],High
[30-39],12,[50-59],UpperMiddle
[30-39],10,[30-39],Low
[30-39],9,[30-39],LowerMiddle
[20-29],7,[30-39],Low
[50-59],9,[30-39],UpperMiddle
[50-59],11,[50-59],UpperMiddle
[50-59],11,[40-49],LowerMiddle
[40-49],10,[30-39],UpperMiddle
[20-29],13,[40-49],UpperMiddle
[30-39],7,[30-39],High
[40-49],10,[40-49],UpperMiddle
[40-49],12,[40-49],UpperMiddle
[40-49],12,[40-49],UpperMiddle
[40-49],13,[40-49],UpperMiddle
[50-59],11,[50-59],UpperMiddle
[40-49],10,[40-49],UpperMiddle
[50-59],12,[50-59],High
[50-59],11,[50-59],UpperMiddle
[20-29],10,[30-39],Low
[30-39],9,[30-39],LowerMiddle
[40-49],12,[50-59],High
[50-59],12,[30-39],LowerMiddle
[20-29],7,[30-39],Low
[50-59],13,[40-49],High
[40-49],9,[40-49],LowerMiddle
[30-39],10,[40-49],Low
[50-59],9,[20-29],LowerMiddle
[20-29],13,[20-29],Low
[70-79],8,[30-39],LowerMiddle
